   25.04230       36.52040          8.060               7
           1           8     6.3000
           2           8    11.9400
           1          12     8.5500
           1           7     7.7800
           1           9     8.2100
           2           9    14.3400
           1          13     7.4500
   25.45780       36.48320         11.360               7
           1          12     2.9600
           2          12     5.2500
           1           9     2.9600
           2           9     5.2800
           1           7     3.3100
           2           7     6.1100
           1           8     3.6200
   25.46820       36.47880          8.810               7
           1           9     2.5200
           2           9     4.7500
           1          12     2.5500
           2          12     4.7800
           1           7     2.9800
           2           7     5.3900
           1           8     3.5800
   25.46410       36.49280          7.290               6
           1          12     2.4100
           2          12     4.5400
           1           9     2.4500
           2           9     4.6200
           1           8     3.5100
           2           8     5.8700
   25.46450       36.52880         15.700               9
           1          12     3.2600
           2          12     7.0000
           1           9     4.2100
           1           8     4.5400
           2           8     8.2000
           1           7     4.4800
           2           7     8.2600
           1          13     4.0900
           2          13     7.7400
   25.44260       36.47920         10.000               8
           1          12     2.5100
           2          12     4.6200
           1           9     2.5900
           2           9     4.8200
           1           7     3.2800
           2           7     5.4000
           1           8     3.1800
           2           8     5.6800
   25.43900       36.47290         10.200               8
           1          12     2.4900
           2          12     4.6100
           1           9     2.5900
           2           9     4.7600
           1           7     2.9400
           2           7     5.2200
           1           8     3.1600
           2           8     5.5500
   25.78410       35.99600         10.510               6
           1          13    11.2500
           2          13    19.7500
           1           7    11.6800
           2           7    21.2200
           1           9    11.8500
           2           9    21.3900
   25.28640       36.36150         16.330               6
           1          13     4.4300
           2          13     7.9400
           1          12     4.2400
           2          12     8.1400
           1           9     4.5200
           2           9     8.1500
   25.55730       36.51520         18.640               5
           1           9     4.8700
           2           9     8.8400
           1          12     5.0600
           2          12     9.1400
           1           8     5.6800
   25.45880       36.47320         12.880               6
           1           9     3.0600
           2           9     5.5600
           1          13     3.4600
           2          13     6.2200
           1           8     3.6500
           2           8     6.6100
   25.44310       36.44000         12.030               6
           1           9     2.6200
           2           9     4.8800
           1          13     2.8900
           2          13     5.2300
           1           8     3.2800
           2           8     5.7900
   25.42050       36.50000         14.530               8
           1           9     3.5500
           2           9     6.4800
           1           8     3.7100
           2           8     6.6900
           1           7     3.9000
           2           7     6.9900
           1          13     3.9600
           2          13     7.2400
   25.36740       36.32250          4.820               6
           1           7     2.2100
           2           7     4.3800
           1          13     2.4500
           2          13     4.5100
           1           8     3.2800
           2           8     5.5200
   25.44870       36.45210         12.350               8
           1           9     2.7600
           2           9     5.0900
           1           7     3.1600
           2           7     5.6400
           1          13     3.0400
           2          13     5.4200
           1           8     3.3400
           2           8     6.0400
   25.44790       36.46190         11.020               8
           1           9     2.5700
           2           9     4.8100
           1           7     2.9400
           2           7     5.3100
           1          13     3.0300
           2          13     5.4100
           1           8     3.2500
           2           8     5.7500
   25.46530       36.46510         14.240               6
           1           9     3.3300
           2           9     5.8400
           1          13     3.4500
           2          13     6.4600
           1           8     3.8700
           2           8     6.9200
   25.43500       36.47960          9.990               5
           1           9     2.5800
           2           9     4.7900
           1           8     3.0600
           1          13     3.1800
           2          13     5.6300
   25.44810       36.44930          9.050               4
           1           9     2.1600
           2           9     3.9100
           1          13     2.5300
           1           8     2.9300
   25.43730       36.42000         13.180               6
           1           9     2.8400
           2           9     5.0400
           1          13     2.8300
           2          13     5.3700
           1           8     3.3900
           2           8     6.0200
   25.45080       36.45560         12.550               6
           1           9     2.8400
           2           9     5.1200
           1          13     3.1400
           2          13     5.7100
           1           8     3.4300
           2           8     6.2200
   25.44660       36.44610         10.820               6
           1           9     2.4600
           2           9     4.4400
           1          13     2.7600
           2          13     4.9900
           1           8     3.1200
           2           8     5.6700
   25.43730       36.46090         10.500               5
           1           9     2.4700
           2           9     4.5300
           2          13     5.2600
           1           8     3.0700
           2           8     5.4300
   25.45210       36.46960         12.620               6
           1           9     2.9800
           2           9     5.3400
           1          13     3.3300
           2          13     6.0800
           1           8     3.5200
           2           8     6.3800
   25.44310       36.46690         11.970               6
           1           9     2.8100
           2           9     5.1200
           1          13     3.2100
           2          13     4.7700
           1           8     3.3400
           2           8     6.0100
   25.44060       36.42980         12.170               6
           1           9     2.6000
           2           9     4.8600
           1          13     2.8000
           2          13     5.0900
           1           8     3.3000
           2           8     5.7500
   25.45710       36.45910         12.650               6
           1           9     2.8800
           2           9     5.3000
           1          13     3.2300
           2          13     5.8000
           1           8     3.5400
           2           8     6.3700
   25.44780       36.46200         12.930               6
           1           9     2.9400
           2           9     5.3300
           1          13     3.2900
           2          13     5.9200
           1           8     3.4700
           2           8     6.3100
   25.48420       36.46890         10.170               6
           1           9     2.7200
           2           9     4.9600
           1          13     3.1200
           2          13     5.6700
           1           8     3.7100
           2           8     6.5900
   25.48550       36.45860         12.370               5
           1           9     2.9200
           2           9     5.4600
           1          13     3.3600
           2          13     5.9100
           2           8     6.9800
   25.45050       36.46420         13.060               6
           1           9     3.0100
           2           9     5.3700
           1          13     3.3400
           2          13     6.0100
           1           8     3.4800
           2           8     6.4500
   25.43870       36.43920         11.680               6
           1           9     2.5700
           2           9     4.6600
           1          13     2.8200
           2          13     5.0900
           1           8     3.1400
           2           8     5.6900
   25.46610       36.48500         11.080               6
           1           9     2.8700
           2           9     5.3600
           1          13     3.4600
           2          13     6.1000
           1           8     3.5900
           2           8     6.5700
   25.45440       36.45530          9.600               6
           1           9     2.3100
           2           9     4.2600
           1          13     2.7400
           2          13     4.9000
           1           8     3.1500
           2           8     5.5800
   25.48270       35.85290         11.030               6
           1          13    12.2300
           2          13    22.2300
           1           9    12.9900
           2           9    23.2800
           1           8    13.3400
           2           8    24.2900
   25.48290       36.45130         15.120               9
           1           9     3.3800
           2           9     6.1300
           1          13     3.5300
           2          13     6.4300
           1           7     3.7400
           2           7     6.7900
           1          12     4.4500
           1           8     4.8000
           2           8     7.3300
   25.45640       36.49920         10.820               6
           1          12     2.9600
