           4  -295.0000    
   95.00000      -5.000000               0
   95.00000       53.75000             130
   95.00000       65.25000             131
   95.00000       73.75000             132
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       54.75000             133
   105.0000       65.75000             134
   105.0000       187.2500             135
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       47.25000             136
   115.0000       55.00000             137
   115.0000       69.25000             138
   115.0000       85.00000             139
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       45.50000             140
   125.0000       77.00000             141
   125.0000       125.5000             142
   125.0000       133.7500             143
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       46.50000             144
   135.0000       82.50000             145
   135.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       62.50000             146
   155.0000       68.75000             147
   155.0000       131.7500             148
   155.0000       143.5000             149
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       105.2500             150
   165.0000       114.7500             151
   165.0000       132.0000             152
   165.0000       139.7500             153
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       58.00000             154
   175.0000       106.0000             155
   175.0000       132.2500             156
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       135.7500             157
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       149.0000             158
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       150.5000             159
   205.0000       158.5000             160
   205.0000       200.0000               0
   215.0000      -5.000000               0
   215.0000       86.00000             161
   215.0000       152.2500             162
   215.0000       200.0000               0
   225.0000      -5.000000               0
   225.0000       85.75000             163
   225.0000       94.25000             164
   225.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         161  -265.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       135.7500             165
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       62.00000             166
  -85.00000       132.5000             167
  -85.00000       140.0000             168
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       62.50000             169
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       62.25000             170
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       61.00000             171
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       63.25000             172
  -45.00000       200.0000               0
  -35.00000      -5.000000               0
  -35.00000       67.75000             173
  -35.00000       200.0000               0
  -25.00000      -5.000000               0
  -25.00000       68.00000             174
  -25.00000       200.0000               0
  -15.00000      -5.000000               0
  -15.00000       65.75000             175
  -15.00000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       107.7500             176
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       63.00000             177
   5.000000       103.7500             178
   5.000000       113.2500             179
   5.000000       138.2500             180
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       63.25000             181
   15.00000       97.25000             182
   15.00000       110.5000             183
   15.00000       121.7500             184
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       63.50000             185
   25.00000       87.00000             186
   25.00000       97.00000             187
   25.00000       110.7500             188
   25.00000       120.0000             189
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       76.50000             190
   35.00000       83.00000             191
   35.00000       89.50000             192
   35.00000       100.0000             193
   35.00000       114.0000             194
   35.00000       125.0000             195
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       77.75000             196
   45.00000       84.25000             197
   45.00000       107.5000             198
   45.00000       115.5000             199
   45.00000       123.2500             200
   45.00000       146.2500             201
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       79.50000             202
   55.00000       89.75000             203
   55.00000       110.7500             204
   55.00000       118.0000             205
   55.00000       125.2500             206
   55.00000       139.5000             207
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       81.75000             208
   65.00000       108.2500             209
   65.00000       116.5000             210
   65.00000       129.5000             211
   65.00000       200.0000               0
   75.00000      -5.000000               0
   75.00000       105.7500             212
   75.00000       115.2500             213
   75.00000       128.7500             214
   75.00000       142.2500             215
   75.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       56.25000             216
   85.00000       71.25000             217
   85.00000       141.2500             218
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       56.00000             219
   95.00000       65.50000             220
   95.00000       180.7500             221
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       61.25000             222
   105.0000       67.50000             223
   105.0000       84.25000             224
   105.0000       179.0000             225
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       50.50000             226
   115.0000       75.25000             227
   115.0000       84.50000             228
   115.0000       126.5000             229
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       48.50000             230
   125.0000       55.00000             231
   125.0000       83.50000             232
   125.0000       127.5000             233
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       51.00000             234
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       63.50000             235
   145.0000       69.75000             236
   145.0000       135.0000             237
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       100.2500             238
   155.0000       107.2500             239
   155.0000       126.0000             240
   155.0000       133.2500             241
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       60.50000             242
   165.0000       102.2500             243
   165.0000       110.0000             244
   165.0000       133.0000             245
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       56.25000             246
   175.0000       63.75000             247
   175.0000       129.0000             248
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       120.5000             249
   185.0000       146.0000             250
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       120.5000             251
   195.0000       145.5000             252
   195.0000       154.0000             253
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       85.50000             254
   205.0000       147.2500             255
   205.0000       200.0000               0
   215.0000      -5.000000               0
   215.0000       86.00000             256
   215.0000       94.50000             257
   215.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         160  -255.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -95.00000      -5.000000               0
  -95.00000       132.7500             258
  -95.00000       200.0000               0
  -85.00000      -5.000000               0
  -85.00000       62.25000             259
  -85.00000       128.5000             260
  -85.00000       200.0000               0
  -75.00000      -5.000000               0
  -75.00000       62.75000             261
  -75.00000       134.5000             262
  -75.00000       200.0000               0
  -65.00000      -5.000000               0
  -65.00000       62.00000             263
  -65.00000       200.0000               0
  -55.00000      -5.000000               0
  -55.00000       62.50000             264
  -55.00000       200.0000               0
  -45.00000      -5.000000               0
  -45.00000       61.00000             265
  -45.00000       200.0000               0
