           4  -295.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         104  -285.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -155.0000      -5.000000               0
  -155.0000       63.50000               1
  -155.0000       200.0000               0
  -145.0000      -5.000000               0
  -145.0000       69.25000               2
  -145.0000       200.0000               0
   5.000000      -5.000000               0
   5.000000       135.7500               3
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       62.00000               4
   15.00000       136.0000               5
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       61.50000               6
   25.00000       137.0000               7
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       60.75000               8
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       60.25000               9
   45.00000       68.75000              10
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       59.25000              11
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       62.00000              12
   65.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       63.50000              13
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       61.75000              14
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       63.50000              15
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       63.50000              16
   125.0000       115.7500              17
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       77.75000              18
   135.0000       114.2500              19
   135.0000       132.5000              20
   135.0000       144.5000              21
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       80.50000              22
   145.0000       108.0000              23
   145.0000       118.2500              24
   145.0000       133.0000              25
   145.0000       141.2500              26
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       105.0000              27
   155.0000       126.5000              28
   155.0000       133.5000              29
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       87.25000              30
   165.0000       105.7500              31
   165.0000       119.5000              32
   165.0000       133.2500              33
   165.0000       141.7500              34
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       85.25000              35
   175.0000       116.0000              36
   175.0000       137.2500              37
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       86.25000              38
   185.0000       137.7500              39
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       126.0000              40
   195.0000       133.5000              41
   195.0000       161.7500              42
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       126.7500              43
   205.0000       134.0000              44
   205.0000       155.0000              45
   205.0000       162.5000              46
   205.0000       200.0000               0
   215.0000      -5.000000               0
   215.0000       131.0000              47
   215.0000       141.2500              48
   215.0000       155.2500              49
   215.0000       167.0000              50
   215.0000       200.0000               0
   225.0000      -5.000000               0
   225.0000       156.0000              51
   225.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       90.00000              52
   295.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         115  -275.0000    
  -295.0000      -5.000000               0
  -295.0000       200.0000               0
  -145.0000      -5.000000               0
  -145.0000       66.25000              53
  -145.0000       200.0000               0
  -5.000000      -5.000000               0
  -5.000000       68.75000              54
  -5.000000       200.0000               0
   5.000000      -5.000000               0
   5.000000       133.7500              55
   5.000000       200.0000               0
   15.00000      -5.000000               0
   15.00000       62.50000              56
   15.00000       131.5000              57
   15.00000       200.0000               0
   25.00000      -5.000000               0
   25.00000       62.00000              58
   25.00000       134.7500              59
   25.00000       200.0000               0
   35.00000      -5.000000               0
   35.00000       60.50000              60
   35.00000       200.0000               0
   45.00000      -5.000000               0
   45.00000       60.50000              61
   45.00000       69.75000              62
   45.00000       200.0000               0
   55.00000      -5.000000               0
   55.00000       61.25000              63
   55.00000       200.0000               0
   65.00000      -5.000000               0
   65.00000       62.00000              64
   65.00000       200.0000               0
   85.00000      -5.000000               0
   85.00000       67.25000              65
   85.00000       200.0000               0
   95.00000      -5.000000               0
   95.00000       54.50000              66
   95.00000       106.5000              67
   95.00000       200.0000               0
   105.0000      -5.000000               0
   105.0000       64.25000              68
   105.0000       200.0000               0
   115.0000      -5.000000               0
   115.0000       64.75000              69
   115.0000       117.7500              70
   115.0000       200.0000               0
   125.0000      -5.000000               0
   125.0000       63.50000              71
   125.0000       111.5000              72
   125.0000       120.0000              73
   125.0000       200.0000               0
   135.0000      -5.000000               0
   135.0000       78.00000              74
   135.0000       106.5000              75
   135.0000       116.0000              76
   135.0000       129.0000              77
   135.0000       138.2500              78
   135.0000       200.0000               0
   145.0000      -5.000000               0
   145.0000       82.25000              79
   145.0000       108.7500              80
   145.0000       126.2500              81
   145.0000       140.7500              82
   145.0000       200.0000               0
   155.0000      -5.000000               0
   155.0000       85.25000              83
   155.0000       101.7500              84
   155.0000       117.7500              85
   155.0000       129.2500              86
   155.0000       138.7500              87
   155.0000       200.0000               0
   165.0000      -5.000000               0
   165.0000       82.00000              88
   165.0000       89.00000              89
   165.0000       117.7500              90
   165.0000       132.5000              91
   165.0000       139.7500              92
   165.0000       200.0000               0
   175.0000      -5.000000               0
   175.0000       82.25000              93
   175.0000       89.50000              94
   175.0000       135.0000              95
   175.0000       200.0000               0
   185.0000      -5.000000               0
   185.0000       86.50000              96
   185.0000       129.7500              97
   185.0000       160.2500              98
   185.0000       200.0000               0
   195.0000      -5.000000               0
   195.0000       124.0000              99
   195.0000       132.0000             100
   195.0000       151.5000             101
   195.0000       160.7500             102
   195.0000       200.0000               0
   205.0000      -5.000000               0
   205.0000       127.0000             103
   205.0000       136.7500             104
   205.0000       150.7500             105
   205.0000       161.7500             106
   205.0000       200.0000               0
   215.0000      -5.000000               0
   215.0000       149.7500             107
   215.0000       200.0000               0
   245.0000      -5.000000               0
   245.0000       35.75000             108
   245.0000       41.50000             109
   245.0000       200.0000               0
   285.0000      -5.000000               0
   285.0000       90.00000             110
   285.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       86.25000             111
   295.0000       200.0000               0
   295.0000      -5.000000               0
   295.0000       200.0000               0
         138  -265.0000    
