           4         165         171         187         197         196
         213         224         242         244         274         291
         321         343         367         400         392         401
         432         446         467         474         494         495
         499         523         521         513         519         538
         534         522         477         440         391         356
         304         262         208         191         155         103
          93          64          47          42          34          17
           7           0           0           0           0           0
           0           0           0           0           0           4
