-129.993740       45.954090         1.13400                 7
1 3 0.45100 0.551
1 4 0.50600 0.606
1 5 0.65600 0.756
1 6 0.68100 0.781
2 3 1.06100 1.161
2 4 0.94100 1.041
2 5 1.29100 1.391
-130.020710       45.938120         0.73500                 6
1 5 0.86000 0.96
1 6 0.85000 0.95
1 2 0.30000 0.4
2 3 1.13500 1.235
2 5 1.65500 1.755
2 6 1.64000 1.74
-130.028180       45.949750         0.91700                12
1 3 0.48400 0.584
1 4 0.88900 0.989
1 5 1.01400 1.114
1 6 0.99400 1.094
1 1 0.78900 0.889
1 2 0.55400 0.654
1 7 1.08900 1.189
2 3 0.83400 0.934
2 4 1.70900 1.809
2 6 1.88400 1.984
2 1 1.65900 1.759
2 2 0.97400 1.074
-129.995910       45.950260         0.65200                 5
1 3 0.34200 0.442
1 4 0.42200 0.522
1 5 0.68200 0.782
2 4 0.69200 0.792
2 5 0.97700 1.077
-130.022780       45.947070         0.76000                 4
1 3 0.43800 0.538
1 5 0.98800 1.088
1 2 0.49800 0.598
2 6 1.86800 1.968
-129.994170       45.953800         0.91200                 5
1 3 0.40700 0.507
1 4 0.41700 0.517
1 5 0.64200 0.742
2 4 0.91200 1.012
2 6 1.32700 1.427
-130.029480       45.950260         0.78000                10
1 3 0.56900 0.669
1 4 0.95400 1.054
1 5 1.09400 1.194
1 6 1.06900 1.169
1 1 0.80400 0.904
1 2 0.63900 0.739
1 7 1.28400 1.384
2 4 1.79400 1.894
2 6 1.95900 2.059
2 1 1.71900 1.819
-129.984500       45.953750         1.35600                 9
1 3 0.58300 0.683
1 4 0.41300 0.513
1 5 0.59300 0.693
1 6 0.62300 0.723
1 1 0.76800 0.868
1 2 0.89300 0.993
2 3 1.25300 1.353
2 5 1.09300 1.193
2 6 1.19300 1.293
-130.021440       45.992880         1.60400                 7
1 3 1.09400 1.194
1 4 1.32900 1.429
1 5 1.50900 1.609
1 1 1.51900 1.619
1 2 1.44400 1.544
1 7 1.88900 1.989
2 4 2.30900 2.409
-130.028900       45.978880         0.91600                 3
1 3 0.76900 0.869
1 6 1.39400 1.494
1 2 1.24400 1.344
-130.036470       45.947860         1.22900                 8
1 3 0.66000 0.76
1 4 1.04500 1.145
1 5 1.15000 1.25
1 6 1.16500 1.265
1 1 0.94500 1.045
1 2 0.63000 0.73
2 6 2.09500 2.195
2 2 1.18000 1.28
-130.021870       45.947700         0.51400                 8
1 3 0.44200 0.542
