   110.3560      -8.005310     -0.3900000     AI2 
   109.8073      -7.199590      -1.600000     CF3 
   110.1027      -7.425430      -1.300000     BG1 
   111.2273      -6.755510     -4.5000002E-02 NK6 
   110.2810      -7.744020     -0.1700000     AH5 
   110.4453      -7.607500     -0.8300000     BI3 
   110.9580      -7.481690     -0.1260000     CK4 
   110.6722      -7.038300     -3.2000002E-02 DI3 
   110.8340      -7.455770     -0.1400000     CJ3 
   110.5222      -7.912450     -0.2450000     AI4 
   110.8809      -7.658850     -0.1320000     BK2 
   109.9902      -7.269880      -1.866000     CG1 
   110.4453      -7.607500     -0.8300000     BI3 
   110.7436      -8.037970     -0.4230000     AK6 
   110.8384      -8.083920     -0.2560000     AK7 
   111.0480      -7.992220     -0.5290000     AK8 
   111.2370      -8.023780     -0.6330000     AL1 
   111.2679      -8.132820     -0.6390000     AL2 
   111.1751      -8.245680     -0.3800000     AL3 
   111.0390      -8.191730     -0.3680000     AL4 
   110.5222      -7.912450     -0.2450000     AI4 
   110.4107      -7.526490      -1.285000     BH2 
   110.4453      -7.607500     -0.8300000     BI3 
   110.6387      -7.769790     -0.1540000     BJ1 
   110.8809      -7.658850     -0.1320000     BK2 
   111.0480      -7.992220     -0.5290000     AK8 
   110.3119      -7.877470     -7.9999998E-02 AHB 
   110.6565      -8.059350     -0.2800000     AJB 
   110.1721      -7.499440     -0.3900000     BGB 
   110.4453      -7.607500     -0.8300000     BIB 
   111.1129      -7.852050     -0.3250000     BKB 
   109.7751      -7.626960     -0.1400000     AFB 
   110.4000      -7.334840      -1.137000     CHB 
   110.8340      -7.455770     -0.1400000     CJB 
   109.7421      -7.424630     -0.7400000     BEB 
   109.9557      -7.137050     -0.9800000     CFB 
   109.7356      -7.033570     -0.2900000     DEB 
   110.2144      -7.057430     -0.3150000     DGB 
   111.0345      -7.322700     -0.1200000     DKB 
   110.5544      -7.089470     -7.0000000E-02 DIB 
   110.9966      -6.958350     -0.2320000     NKB 
   110.9966      -6.958350     -0.2320000     NKB 
   109.4506      -8.493500       2.213000     OH01
   109.5366      -9.190080       3.135000     OS02
   110.0433      -9.836780       1.853000     OH03
   110.7714      -9.853480       2.908000     OH04
   111.1027      -9.762850       2.824000     OH05
   111.2433      -9.451870       2.913000     OS06
   110.7220      -9.509550      0.9870000     OS07
   110.1684      -9.440330       1.224000     OS08
   110.0287      -9.152180       3.302000     OS09
   110.3593      -8.972800       1.696000     OH10
   110.7899      -9.058650       3.224000     OH11
   111.3757      -9.055580       2.474000     OS12
   111.0262      -8.768680       1.133000     OH13
   110.3765      -8.634550       1.093000     OH14
