-75.32516       4.87050        3.19    8
-75.32767       4.86767        3.45    9
-75.26884       4.91117        1.88    10
-75.28883       4.90950        0.19    7
-75.28650       4.87467        5.94    7
-75.30583       4.88333        2.49    8
-75.30566       4.90617        3.05    6
-75.30317       4.89117        3.00    7
-75.30566       4.90217        4.12    8
-75.32200       4.89533        0.47    7
-75.32400       4.89617        0.61    7
-75.35616       4.86317        5.86    11
-75.35367       4.89200        4.57    10
-75.31150       4.91433        1.66    8
-75.29816       4.90233        0.94    8
-75.31233       4.87450        1.31    8
-75.31316       4.92283        0.04    9
-75.32716       4.87400        3.72    8
-75.32800       4.86433        4.98    7
-75.28934       4.90867        0.20    12
-75.31150       4.89583        3.36    8
-75.34100       4.85883        0.84    7
-75.31233       4.88617        1.54    9
-75.32000       4.89950        1.16    7
-75.32066       4.90067        0.89    8
-75.32300       4.88133        3.69    7
-75.33117       4.87050        3.26    9
-75.29667       4.89683        1.87    4
-75.30600       4.90350        0.52    7
-75.33067       4.88217        1.67    10
-75.33250       4.88033        1.83    10
-75.33100       4.89567        3.97    9
-75.31116       4.91867        1.07    9
-75.33167       4.88417        1.61    9
-75.32317       4.89617        0.39    7
-75.32233       4.90100        3.75    8
-75.31267       4.87383        3.05    8
-75.32833       4.90067        0.17    8
-75.36833       4.94467        5.99    12
-75.33700       4.86650        1.70    8
-75.31433       4.87700        5.23    8
-75.29716       4.90117        1.84    8
-75.31800       4.89700        0.35    8
-75.33134       4.87300        3.33    9
-75.33134       4.87300        3.33    9
-75.31367       4.88150        1.61    11
-75.31583       4.88100        1.41    9
-75.29450       4.89600        15.00   8
-75.33167       4.89117        0.75    8
-75.32633       4.88150        3.77    11
-75.32633       4.88150        3.77    11
-75.34100       4.89600        0.00    4
-75.37933       4.72650        7.27    9
-75.30016       4.89150        2.90    8
-75.32684       4.89183        0.88    7
-75.30683       4.89800        1.23    11
-75.32066       4.88967        1.07    8
-75.32484       4.89533        0.35    6
-75.32166       4.87683        4.39    7
-75.32317       4.90100        1.45    10
-75.32317       4.90100        1.45    10
-75.31267       4.87333        2.37    5
-75.30967       4.87650        1.76    8
-75.30517       4.89733        1.92    8
-75.34084       4.91900        4.34    8
-75.32400       4.89600        0.59    6
-75.32400       4.89600        0.59    6
-75.32450       4.89533        0.08    8
-75.30867       4.88000        3.35    8
-75.30700       4.88000        2.73    9
-75.30683       4.87983        2.34    10
-75.31184       4.90017        10.60   9
-75.32484       4.90083        3.21    8
-75.31683       4.91000        3.94    11
-75.31567       4.90883        4.43    12
-75.31900       4.90817        4.06    11
-75.32684       4.89567        0.90    8
-75.35600       5.01917        2.05    5
-75.32684       4.91867        3.50    7
-75.32883       4.87017        2.85    9
-75.32850       4.87433        2.16    7
-75.25684       4.96933        1.20    9
-75.25684       4.96933        1.20    9
-75.32633       4.87850        3.52    9
-75.32616       4.89233        1.26    8
-75.32267       4.88700        3.50    9
-75.31650       4.87750        3.00    8
-75.32383       4.89400        0.04    9
-75.32317       4.89367        0.22    8
-75.32317       4.89367        0.22    8
-75.34184       4.87050        19.00   7
-75.32516       4.89150        1.20    9
-75.30566       4.86867        4.00    9
-75.31116       4.87933        2.85    9
-75.31184       4.87467        3.11    9
-75.30983       4.87983        2.66    8
-75.30917       4.88117        3.02    7
-75.32017       4.88200        1.53    7
-75.32367       4.89467        0.25    7
-75.32367       4.89467        0.25    7
-75.32450       4.89367        1.49    10
-75.48016       4.76900        3.60    11
-75.35250       4.94317        8.96    9
-75.18584       4.79467        17.70   9
-75.32633       4.89433        0.17    8
-75.32267       4.89267        5.02    9
-75.32066       4.89567        1.27    8
-75.32066       4.89567        1.27    8
-75.34100       4.89600        13.00   8
-75.31150       4.88133        4.61    8
-75.34883       4.90250        0.00    6
-75.32633       4.88033        4.57    8
-75.34534       4.74667        2.76    11
-75.31184       4.87667        2.53    10
-75.32417       4.90050        1.47    8
-75.32550       4.88967        1.12    9
-75.36166       4.68550        6.04    9
-75.32400       4.89683        0.57    9
-75.32133       4.89333        0.33    10
-75.31000       4.90583        3.41    8
-75.32417       4.89500        0.39    9
-75.35167       4.74383        2.33    11
-75.34100       4.89600        12.00   7
-75.32133       5.08017        1.07    8
-75.31133       4.88133        3.37    10
-75.31250       4.88333        0.01    9
-75.31250       4.88333        0.01    9
-75.32533       4.89683        0.83    11
-75.31100       4.90817        3.96    11
-75.32800       4.90367        0.89    8
-75.31167       4.91917        3.68    10
-75.32533       4.87783        2.01    9
-75.32467       4.87867        1.26    8
-75.32767       4.87583        2.58    8
-75.32700       4.87050        4.54    9
-75.32516       4.89050        1.75    9
-75.30867       4.86917        5.16    10
-75.31316       4.88083        2.55    10
-75.32267       4.89383        0.48    8
-75.34233       4.68267        7.28    11
-75.32484       4.89117        1.47    10
-75.32250       4.89667        0.45    10
-75.31550       4.89233        3.25    10
-75.32417       4.89467        0.72    11
-75.32250       4.89500        0.29    9
-75.32550       4.89467        1.25    9
-75.31567       4.91250        4.62    10
-75.32550       4.89483        1.70    9
-75.32550       4.89483        1.70    9
-75.32800       4.89267        0.74    5
-75.32600       4.89500        1.19    8
-75.30283       4.88250        4.00    8
-75.32166       4.89833        0.43    8
-75.34150       4.89300        0.00    4
-75.32333       4.89533        0.56    10
-75.32383       4.87633        4.04    9
-75.31184       4.87983        3.50    10
-75.30566       4.86867        4.00    13
-75.32467       4.89167        0.26    12
-75.33633       4.85250        3.71    12
-75.32983       4.86883        4.11    12
-75.32250       4.89483        0.44    10
-75.32283       4.89017        2.61    10
-75.32283       4.89433        0.50    10
-75.32283       4.89583        0.46    10
-75.32367       4.89267        0.26    8
-75.33000       4.87233        3.91    10
-75.32383       4.89283        0.48    9
