 AXEC3  0.947 0.50 P
 AXAS2  0.557 0.75 P
 AXID1  0.932 0.50 P
 AXCC1  1.172 0.25 S
 AXEC1  1.552 0.25 S
 AXEC2  1.727 0.33 S
 AXEC3  1.707 0.33 S
 AXAS1  1.522 0.33 S
 AXAS2  0.832 0.33 S
# 2015  1 26  6 32 31.351   45.94148 -129.98305  1.522  0.5  0.270  0.660  0.024  21552
 AXCC1  0.734 1.00 P
 AXEC1  0.469 1.00 P
 AXEC2  0.459 1.00 P
 AXEC3  0.449 1.00 P
 AXAS1  0.579 1.00 P
 AXAS2  0.699 1.00 P
 AXID1  0.584 0.75 P
 AXEC1  0.904 0.33 S
 AXEC2  0.849 0.33 S
 AXEC3  0.909 0.33 S
 AXAS1  1.224 0.33 S
 AXAS2  1.204 0.25 S
# 2015  1 26  6 41 28.531   45.93758 -129.97748  1.855  0.4  0.360  0.638  0.037  21577
 AXCC1  0.854 0.75 P
 AXEC1  0.544 1.00 P
 AXEC2  0.539 1.00 P
 AXEC3  0.409 0.50 P
 AXAS1  0.664 1.00 P
 AXAS2  0.779 0.50 P
 AXID1  0.489 0.75 P
 AXEC1  1.004 0.33 S
 AXEC2  0.929 0.33 S
 AXEC3  0.964 0.33 S
 AXAS1  1.314 0.33 S
 AXAS2  1.269 0.25 S
# 2015  1 26  6 46 24.747   45.94173 -129.98434  0.986  0.3  0.248  0.467  0.022  21586
 AXCC1  0.708 1.00 P
 AXEC1  0.403 1.00 P
 AXEC2  0.398 1.00 P
 AXEC3  0.383 1.00 P
 AXAS1  0.518 1.00 P
 AXAS2  0.683 1.00 P
 AXEC1  0.863 0.33 S
 AXEC2  0.788 0.33 S
 AXEC3  0.823 0.33 S
 AXAS1  1.158 0.33 S
 AXAS2  1.143 0.25 S
# 2015  1 26  6 48 24.449   45.94187 -129.98488  0.937  0.2  0.218  0.547  0.025  21589
 AXCC1  0.701 0.75 P
 AXEC1  0.396 1.00 P
 AXEC2  0.391 1.00 P
 AXEC3  0.381 1.00 P
 AXAS1  0.501 1.00 P
 AXAS2  0.666 1.00 P
 AXID1  0.606 0.75 P
 AXEC1  0.851 0.33 S
 AXEC2  0.781 0.33 S
 AXEC3  0.781 0.33 S
 AXAS1  1.171 0.33 S
 AXAS2  1.136 0.25 S
# 2015  1 26  8 58 44.687   45.94328 -130.01625  0.781  1.2  0.583  0.456  0.027  21650
 AXCC1  0.493 1.00 P
 AXEC1  0.788 1.00 P
 AXEC2  0.873 1.00 P
