   99.00000       2.000000       8.000000              10
           1           1   9.800000    
           1           4   7.100000    
           1          12   8.800000    
           1          29   4.800000    
           1          30   1.900000    
           2           1   16.20000    
           2           4   12.90000    
           2          12   15.60000    
           2          29   7.300000    
           2          30   3.100000    
   99.16000       1.770000       10.00000              10
           1           1   11.90000    
           1           4   11.10000    
           1          24   13.30000    
           1          29   9.300000    
           1          30   6.300000    
           2           1   20.20000    
           2           4   19.30000    
           2          24   22.30000    
           2          29   16.70000    
           2          30   10.90000    
   99.15000       1.770000       11.40000               6
           1           1   12.10000    
           1          22   2.100000    
           1          23   7.700000    
           1          30   6.700000    
           2           1   20.30000    
           2          30   11.00000    
   99.07000       1.850000       12.90000               7
           1           1   11.50000    
           1          22   2.700000    
           1          23   6.800000    
           1          30   4.900000    
           2           1   18.60000    
           2          23   11.50000    
           2          30   7.900000    
   98.96000       2.060000       9.400000              18
           1           1   9.300000    
           1           4   6.400000    
           1          12   7.600000    
           1          20   9.200000    
           1          21   9.100000    
           1          22   7.100000    
           1          23   7.200000    
           1          24   7.900000    
           1          29   3.100000    
           1          30   2.400000    
           1          31   7.100000    
           2           1   15.50000    
           2           4   11.20000    
           2          20   14.90000    
           2          23   12.00000    
           2          24   13.20000    
           2          29   5.400000    
           2          30   4.200000    
   98.95000       2.060000       10.60000              12
           1           1   9.400000    
           1           4   6.600000    
           1          22   7.300000    
           1          23   7.400000    
           1          29   3.300000    
           1          30   2.600000    
           1          31   7.100000    
           2           1   15.70000    
           2           4   11.40000    
           2          23   12.10000    
           2          29   5.600000    
           2          30   4.300000    
   99.15000       1.740000       13.50000               8
           1           1   12.20000    
           1           4   11.70000    
           1          22   2.600000    
           1          23   7.900000    
           1          30   7.100000    
           2           1   20.70000    
           2          23   13.80000    
           2          30   12.10000    
   99.07000       1.850000      0.9000000              28
           1           1   10.90000    
           1           2   18.80000    
           1           4   9.400000    
           1           5   19.40000    
           1           6   6.900000    
           1           8   18.40000    
           1          10   18.80000    
           1          11   15.00000    
           1          12   12.30000    
           1          15   29.50000    
           1          19   15.50000    
           1          20   12.90000    
           1          21   13.90000    
           1          23   6.500000    
           1          24   11.10000    
           1          26   16.80000    
           1          29   7.500000    
           1          31   11.40000    
           2           1   18.10000    
           2           2   31.60000    
           2           4   16.60000    
           2           6   12.00000    
           2          11   25.00000    
           2          23   11.00000    
           2          24   19.50000    
           2          26   28.60000    
           2          29   12.70000    
           2          31   19.00000    
   99.07000       1.850000       10.00000              24
           1           1   9.200000    
           1           2   18.70000    
           1           4   12.00000    
           1           5   10.70000    
           1           6   7.500000    
           1          10   18.90000    
           1          11   15.40000    
           1          12   12.70000    
           1          15   31.20000    
           1          20   13.40000    
           1          22   2.400000    
           1          23   6.100000    
           1          24   10.30000    
           1          30   4.300000    
           1          31   10.30000    
           2           1   17.80000    
           2           4   16.80000    
           2           6   12.20000    
           2          11   24.70000    
           2          15   52.50000    
           2          23   10.60000    
           2          24   19.70000    
           2          30   7.300000    
           2          31   18.60000    
   99.07000       1.840000       12.70000               9
           1           1   11.60000    
           1           6   7.100000    
           1          22   2.800000    
           1          23   7.000000    
           1          30   5.000000    
           2           1   18.70000    
           2           6   12.50000    
           2          23   11.40000    
           2          30   8.000000    
   99.07000       1.850000       1.400000              25
           1           1   10.70000    
           1           4   9.200000    
           1           5   19.80000    
           1           6   6.900000    
           1          10   18.70000    
           1          11   14.90000    
           1          12   12.30000    
           1          15   29.40000    
           1          20   13.10000    
           1          22   2.200000    
           1          23   6.300000    
           1          24   12.00000    
           1          29   7.300000    
           1          30   4.300000    
           1          31   11.20000    
           2           1   18.00000    
           2           4   16.30000    
           2           6   11.80000    
           2          11   24.80000    
           2          20   22.30000    
           2          23   10.70000    
           2          24   19.20000    
           2          29   12.60000    
           2          30   7.300000    
           2          31   18.70000    
   99.07000       1.850000       13.00000               9
           1           1   11.40000    
           1           6   7.300000    
           1          22   2.800000    
           1          23   6.800000    
           1          30   4.900000    
           2           1   18.50000    
           2           6   12.30000    
           2          23   11.30000    
           2          30   7.800000    
   99.07000       1.850000       13.30000               7
           1           6   7.400000    
           1          22   2.700000    
           1          23   6.800000    
           1          30   4.900000    
           2           1   18.40000    
           2          23   11.20000    
           2          30   7.700000    
   99.07000       1.850000       10.00000              10
           1           1   11.40000    
           1           6   7.100000    
           1          22   2.600000    
           1          23   6.700000    
           1          30   4.800000    
           1          31   19.10000    
           2           1   18.30000    
           2           6   12.20000    
           2          23   11.10000    
