   24.22506      -45.97601       7.500000              10
           1           1  0.2606840    
           1           4 -2.9028893E-02
           1          12 -0.5446281    
           1          29  0.2966042    
           1          30  1.6368628E-02
           2           1  9.2265129E-02
           2           4  0.8897524    
           2          12 -0.1767645    
           2          29 -0.2466717    
           2          30  6.9274902E-03
   43.51088      -71.54616     -0.5000000              10
           1           1  6.5416336E-02
           1           4  5.2318573E-03
           1          24  0.2493906    
           1          29 -0.3056278    
           1          30 -1.4410496E-02
           2           1 -0.1083508    
           2           4  0.2493267    
           2          24 -7.5597763E-02
           2          29  0.1808739    
           2          30 -2.4058342E-02
   16.27923      -38.30498       11.40000              18
           1           1 -0.4094963    
           1           4 -0.2727585    
           1          12  3.0379295E-03
           1          20  0.6075392    
           1          21  0.6058197    
           1          22  0.2932415    
           1          23 -5.5594444E-02
           1          24  2.3512363E-02
           1          29 -0.3041198    
           1          30 -0.3401756    
           1          31 -0.1510057    
           2           1 -0.8807888    
           2           4 -1.8334389E-02
           2          20  0.4181728    
           2          23 -0.2091541    
           2          24 -6.4673424E-02
           2          29 -0.2616477    
           2          30 -0.3329434    
   16.66776      -37.80513       10.60000              12
           1           1 -0.2318363    
           1           4  2.3068905E-02
           1          22  0.4431725    
           1          23  1.9109249E-02
           1          29 -1.5189648E-03
           1          30 -6.9782019E-02
           1          31 -0.1822133    
           2           1 -0.5146313    
           2           4  0.3787050    
           2          23 -0.2880230    
           2          29  0.1469083    
           2          30 -7.9139233E-02
   41.39987      -74.38205       13.50000               8
           1           1 -0.1693106    
           1           4  0.1637106    
           1          22 -2.3481846E-02
           1          23 -0.2394466    
           1          30  0.2685285    
           2           1 -0.5353298    
           2          23 -0.2445593    
           2          30  0.2790003    
   30.00650      -60.65329       15.90000              28
           1           1 -0.3167152    
           1           2  6.9553375E-02
           1           4 -0.2043238    
           1           5 -0.3586369    
           1           6 -0.3721981    
           1           8  0.1344147    
           1          10 -0.2583065    
           1          11 -0.4672451    
           1          12  0.2067738    
           1          15 -0.5013962    
           1          19   1.281816    
           1          20  0.3837948    
           1          21   1.094901    
           1          23 -0.4309278    
           1          24 -0.1827078    
           1          26 -8.7825775E-02
           1          29  1.2949944E-02
           1          31 -3.9196014E-03
           2           1 -0.9273071    
           2           2 -0.2006550    
           2           4  0.3137569    
           2           6 -0.3216305    
           2          11  -1.253204    
           2          23 -0.7414732    
           2          24  0.3605003    
           2          26 -6.8187714E-02
           2          29  1.3119698E-02
           2          31 -0.3455544    
   31.00650      -61.65329       10.00000              21
           1           2 -2.4919510E-02
           1           6  0.8289409    
           1          10 -0.1228371    
           1          11  8.3984375E-02
           1          12  0.7085419    
           1          15  0.9745121    
           1          20   1.009034    
           1          22  0.2620394    
           1          23 -0.4080372    
           1          24 -0.7967091    
           1          30  0.1994491    
           1          31 -0.9871836    
           2           1 -0.9039154    
           2           4  0.7916946    
           2           6  0.7308702    
           2          11  -1.465555    
           2          15  0.9883499    
           2          23 -0.5919924    
           2          24  0.7072716    
           2          30  0.2007346    
           2          31 -0.7165432    
   30.50667      -61.76520       10.20000               9
           1           1  7.3480606E-03
           1           6 -0.2694383    
           1          22  4.3118000E-03
           1          23 -3.5706043E-02
           1          30  0.2934842    
           2           1 -0.7106228    
           2           6  0.2688456    
           2          23 -0.2638111    
           2          30  0.2958126    
   30.00650      -62.15329       10.40000              25
           1           1 -0.3585424    
           1           4 -0.2224016    
           1           5  1.8535614E-02
           1           6  5.1793098E-02
           1          10 -0.4039326    
           1          11 -0.5339718    
           1          12  0.3538179    
           1          15 -0.7407227    
           1          20  0.6740398    
           1          22  9.2134476E-03
           1          23 -8.6746216E-03
           1          24  0.8396769    
           1          29  0.1224632    
           1          30  0.1892443    
           1          31  9.4623566E-03
           2           1 -0.9481430    
           2           4  0.1332989    
           2           6  9.4308853E-03
           2          11  -1.586367    
           2          20   1.027245    
           2          23 -0.1733665    
           2          24  7.8830719E-02
           2          29  0.2495680    
           2          30  0.1630960    
           2          31 -0.4725285    
   29.00650      -60.65329       11.50000               9
           1           1 -4.7870636E-02
           1           6 -0.1424460    
           1          22 -0.2621291    
           1          23  1.2337685E-02
           1          30  0.4401083    
           2           1 -0.7409840    
           2           6 -0.1317635    
           2          23 -1.8629074E-02
           2          30  0.4385791    
   29.00650      -61.15329       9.000000               9
           1           1 -9.8415375E-02
           1           6 -0.2951617    
           1          22 -0.1051724    
           1          23  3.2937527E-02
           1          30  0.4658127    
           2           1  -1.021580    
           2           6 -0.1460466    
           2          23 -8.2769394E-03
           2          30  0.4576087    
   29.50650      -61.65329       10.00000              13
           1           1 -0.3713093    
           1           4  6.2646866E-03
           1           6  0.1792269    
           1          22 -7.1402073E-02
           1          23  1.1604786E-02
           1          30  0.2646952    
           1          31 -1.9079208E-02
           2           1  -1.029482    
           2           4  0.2223949    
           2           6 -7.3568344E-02
           2          23  1.4724731E-03
           2          30  0.3317261    
           2          31 -0.2106895    
   20.27956      -43.64081       9.300000              11
           1           1  0.4540577    
           1           4  0.1490765    
           1          23  0.4498239    
           1          29  -1.156276    
           1          30  0.1261004    
           1          31 -2.2782326E-02
           2           1 -0.3502483    
           2           4  0.6312828    
           2          23  0.4725533    
           2          29 -0.4778147    
           2          30  9.2225552E-02
   17.16817      -43.25284       4.900000              14
           1           1 -0.7151880    
           1           4 -0.5806594    
           1          12  0.3042173    
           1          22  0.4496574    
           1          23 -0.1060033    
           1          24   1.342330    
           1          29 -0.2586927    
           1          30 -0.3323754    
           1          31 -0.1032872    
           2           1  -1.330238    
           2           4 -0.1415405    
           2          23 -9.4625473E-02
           2          30 -0.3094583    
           2          31 -0.1300077    
   37.17675      -74.49446       15.90000              18
           1           1 -0.2500811    
           1           4  7.3995590E-03
           1           5  0.3390427    
           1           6  0.2752686    
           1          10  2.8881073E-02
           1          12  0.6569147    
           1          15  -1.273806    
           1          22 -0.1618388    
           1          23 -0.3785820    
           1          29  0.5617514    
           1          31  0.1950502    
           2           1 -0.8896637    
           2           4  8.0604553E-03
           2           6  2.3433685E-02
           2          22  0.2503514    
           2          23 -0.3681126    
           2          24 -3.5762787E-02
           2          31 -0.5129337    
   37.67714      -74.71823       15.90000              15
           1           1  4.4517517E-03
           1           4  0.3333836    
           1           5   1.030209    
           1           6  0.4642482    
           1          15 -0.3910370    
           1          22 -1.8906593E-02
           1          23  3.3335686E-03
           1          31  -1.425682    
           2           1 -0.6441078    
           2           4  0.3050766    
           2           6  0.2275457    
           2          15   1.303570    
           2          22  0.3761826    
           2          23 -0.3460073    
           2          31 -0.6953373    
   34.06537      -69.65910       18.90000               8
           1           1 -0.2427521    
           1           6  0.2957349    
           1          22 -0.3933716    
           1          23  0.3403888    
           2           1 -0.2042408    
           2           6  8.1190109E-02
           2          22 -0.3902926    
           2          23  0.2971020    
   36.61844      -74.37685       17.00000               8
           1           1 -8.6506844E-02
           1           4  0.3966656    
           1           6 -0.2334838    
           1          22 -2.6395798E-02
           1          23 -5.0279617E-02
           2           1 -0.7480965    
           2           6  4.2039871E-02
           2          22 -2.5910378E-02
   35.56668      -74.94218       16.00000              11
           1           1 -0.1370792    
           1           4  0.3036785    
           1           6  0.1166401    
           1          22 -2.3681641E-02
           1          23 -0.7599788    
